Products = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12};
Factories = {1, 2, 3, 4, 5};
Periods = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52};
num_factories = 5;
num_products = 12;
num_periods = 52;
total_area = [5596228 4059552 6513874 3916217 6666629] ;
max_line_changes = [[16 14 13 13 17 12 12 15 16 15 11 16 17 12 11 11 14 12 12 17 15 14 13 13
  13 12 11 12 13 11 16 14 12 12 14 13 17 11 12 12 15 11 11 13 11 14 15 13
  17 15 15 14]
 [15 17 14 17 17 15 15 15 14 16 14 12 15 13 11 14 14 11 11 15 12 12 14 13
  16 12 16 17 14 12 14 13 16 12 15 14 16 11 14 16 15 11 16 11 14 16 16 15
  13 15 13 14]
 [13 14 13 12 11 15 13 17 14 15 11 11 13 15 16 15 11 12 16 14 14 15 13 17
  16 15 17 13 14 14 12 12 15 15 11 15 13 13 13 13 16 15 15 13 13 11 17 11
  17 11 14 12]
 [11 16 13 11 11 14 11 15 12 13 16 12 12 13 13 11 12 13 15 11 12 17 13 13
  11 16 13 16 16 12 13 16 11 13 15 12 13 11 15 17 11 16 13 11 13 15 11 14
  12 14 16 12]
 [15 13 13 11 12 16 14 15 15 13 17 13 16 14 15 14 12 14 17 16 15 15 17 14
  14 12 14 11 17 16 15 12 13 14 12 15 15 16 13 12 17 15 14 11 17 12 11 16
  13 15 13 14]] ;
productfactorydata =  [[<350, 0, 960, 6, 870>,
 <406, 0, 950, 9, 732>,
 <346, 0, 973, 3, 889>,
 <408, 0, 1047, 4, 420>,
 <304, 0, 976, 4, 430>,
 <440, 7906, 1047, 8, 367>,
 <392, 4113, 962, 4, 760>,
 <327, 5363, 1011, 4, 568>,
 <322, 5184, 1007, 5, 964>,
 <344, 6148, 1029, 4, 419>,
 <391, 5240, 1016, 4, 356>,
 <374, 4141, 978, 4, 318>], 

[<405, 7284, 1009, 4, 77>,
 <439, 4915, 971, 4, 222>,
 <345, 5955, 1031, 8, 97>,
 <394, 4211, 959, 3, 753>,
 <330, 5616, 1007, 6, 429>,
 <362, 0, 959, 7, 405>,
 <334, 0, 951, 9, 778>,
 <431, 0, 979, 4, 830>,
 <371, 0, 973, 8, 694>,
 <406, 0, 965, 9, 247>,
 <415, 0, 955, 7, 526>,
 <400, 0, 999, 7, 247>], 

[<396, 7551, 999, 4, 697>,
 <386, 6455, 973, 4, 995>,
 <314, 6779, 987, 3, 588>,
 <425, 5009, 969, 4, 248>,
 <376, 6642, 998, 9, 388>,
 <305, 4089, 995, 5, 253>,
 <381, 7721, 956, 5, 121>,
 <434, 0, 986, 6, 917>,
 <438, 0, 995, 3, 795>,
 <407, 0, 997, 6, 665>,
 <444, 0, 969, 7, 892>,
 <383, 0, 1049, 4, 958>], 

[<448, 0, 967, 8, 188>,
 <448, 0, 990, 7, 592>,
 <351, 0, 976, 6, 811>,
 <376, 7883, 1036, 3, 316>,
 <395, 4639, 993, 5, 592>,
 <444, 4764, 977, 6, 358>,
 <391, 5763, 988, 3, 951>,
 <318, 4856, 953, 7, 714>,
 <378, 4265, 1016, 3, 470>,
 <305, 7194, 981, 7, 316>,
 <315, 4007, 1020, 8, 573>,
 <414, 5977, 970, 8, 589>], 

[<378, 4363, 959, 7, 504>,
 <370, 5072, 1011, 5, 924>,
 <402, 0, 1013, 9, 731>,
 <329, 0, 979, 7, 488>,
 <314, 0, 995, 10, 872>,
 <436, 0, 987, 4, 484>,
 <332, 0, 1014, 6, 792>,
 <305, 0, 986, 5, 541>,
 <379, 6697, 992, 6, 380>,
 <349, 5905, 1009, 7, 477>,
 <330, 6525, 1046, 9, 440>,
 <429, 4711, 1027, 6, 100>]];
producttimedata =  [[<370, 1757322>,
 <371, 3928364>,
 <352, 5325906>,
 <351, 7010374>,
 <333, 9168729>,
 <332, 11070207>,
 <403, 13319600>,
 <446, 15566307>,
 <444, 17750515>,
 <492, 19398264>,
 <356, 20960376>,
 <495, 22402130>,
 <430, 24034246>,
 <479, 24561474>,
 <393, 25023323>,
 <354, 25616468>,
 <434, 26062047>,
 <367, 26568055>,
 <499, 27178789>,
 <385, 27634311>,
 <420, 28126764>,
 <481, 28542112>,
 <436, 29012519>,
 <330, 29648848>,
 <311, 30166796>,
 <460, 30664228>,
 <356, 31084566>,
 <417, 31627242>,
 <397, 31627242>,
 <436, 31627242>,
 <421, 31627242>,
 <465, 31627242>,
 <473, 31627242>,
 <428, 31627242>,
 <317, 31627242>,
 <350, 31627242>,
 <319, 31627242>,
 <498, 31627242>,
 <322, 31627242>,
 <0, 35691108>,
 <0, 38316006>,
 <0, 39991681>,
 <0, 41449549>,
 <0, 43080168>,
 <0, 45120227>,
 <0, 47022211>,
 <0, 49140408>,
 <0, 50555863>,
 <0, 52539170>,
 <0, 54591244>,
 <0, 56689781>,
 <0, 58096495>], 

[<467, 1574787>,
 <492, 3731195>,
 <324, 5665579>,
 <336, 7590932>,
 <385, 9331780>,
 <337, 11072096>,
 <322, 12961166>,
 <400, 14392080>,
 <485, 15858806>,
 <352, 17983727>,
 <337, 20096763>,
 <467, 22253536>,
 <390, 24066621>,
 <433, 25908135>,
 <392, 27577748>,
 <390, 29399089>,
 <343, 31530531>,
 <455, 33618258>,
 <420, 35684029>,
 <356, 37766947>,
 <356, 39290629>,
 <421, 39721042>,
 <492, 40263865>,
 <475, 40799034>,
 <440, 41407541>,
 <481, 41886072>,
 <418, 42427223>,
 <403, 42962753>,
 <483, 43392740>,
 <483, 43919253>,
 <316, 44337758>,
 <475, 44829426>,
 <315, 45372181>,
 <486, 45782136>,
 <428, 46410649>,
 <388, 46984371>,
 <489, 46984371>,
 <377, 46984371>,
 <330, 46984371>,
 <313, 46984371>,
 <424, 46984371>,
 <447, 46984371>,
 <462, 46984371>,
 <385, 46984371>,
 <378, 46984371>,
 <487, 46984371>,
 <332, 46984371>,
 <0, 50927169>,
 <0, 53327886>,
 <0, 55803859>,
 <0, 57649538>,
 <0, 59471049>], 

[<364, 2201101>,
 <334, 4304097>,
 <443, 6300253>,
 <304, 8382978>,
 <375, 10430477>,
 <497, 12360135>,
 <440, 13922922>,
 <474, 15423626>,
 <424, 17059087>,
 <370, 18718592>,
 <468, 20489892>,
 <470, 22112331>,
 <465, 23985786>,
 <347, 25593040>,
 <343, 27755221>,
 <419, 29897999>,
 <440, 31985268>,
 <427, 33855671>,
 <304, 35466520>,
 <301, 37351850>,
 <345, 38828363>,
 <485, 39321149>,
 <320, 39750141>,
 <384, 40351799>,
 <359, 40802400>,
 <340, 41457785>,
 <374, 42107293>,
 <424, 42583686>,
 <480, 43034991>,
 <480, 43705670>,
 <429, 44168519>,
 <315, 44674735>,
 <482, 45345312>,
 <346, 45822668>,
 <362, 46364599>,
 <404, 47036088>,
 <467, 47036088>,
 <383, 47036088>,
 <339, 47036088>,
 <412, 47036088>,
 <465, 47036088>,
 <379, 47036088>,
 <408, 47036088>,
 <327, 47036088>,
 <474, 47036088>,
 <367, 47036088>,
 <419, 47036088>,
 <0, 52280919>,
 <0, 54733243>,
 <0, 56500622>,
 <0, 58624527>,
 <0, 60226661>], 

[<308, 1502573>,
 <447, 3703293>,
 <391, 5658929>,
 <488, 7727096>,
 <333, 9715438>,
 <487, 11673040>,
 <354, 13321970>,
 <379, 15029924>,
 <427, 16994501>,
 <361, 18822712>,
 <312, 20506233>,
 <314, 22560041>,
 <332, 24591018>,
 <351, 26010170>,
 <351, 27930345>,
 <324, 30046555>,
 <359, 30697735>,
 <419, 31241200>,
 <302, 31728437>,
 <404, 32236074>,
 <349, 32652427>,
 <380, 33302064>,
